ID,Marriage_Type,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Parental_Approval,Urban_Rural,Dowry_Exchanged,Marital_Satisfaction,Divorce_Status,Children_Count,Income_Level,Years_Since_Marriage,Spouse_Working,Inter-Caste,Inter-Religion
1352,Arranged,30,Female,School,Same,Sikh,Yes,Urban,No,Low,No,4,Middle,32,No,No,Yes
1353,Love,29,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,2,High,1,Yes,Yes,No
1354,Arranged,18,Female,Graduate,Different,Hindu,Yes,Urban,No,High,No,1,Middle,15,No,Yes,Yes
1355,Arranged,37,Male,School,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,10,Yes,Yes,No
1356,Love,32,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,1,Middle,18,Yes,Yes,No
1357,Arranged,39,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,5,Low,33,No,No,No
1358,Arranged,25,Female,School,Same,Hindu,Partial,Rural,Not Disclosed,Medium,No,5,Middle,20,No,Yes,Yes
1359,Arranged,22,Male,Postgraduate,Different,Christian,Partial,Urban,No,Medium,Yes,5,Middle,33,No,No,No
1360,Love,27,Female,PhD,Same,Hindu,Yes,Urban,No,Medium,No,5,High,20,Yes,No,No
1361,Arranged,22,Male,Graduate,Different,Hindu,Partial,Urban,No,Medium,No,0,Middle,8,Yes,No,No
1362,Arranged,27,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,4,Middle,37,Yes,No,No
1363,Arranged,38,Male,School,Same,Hindu,Partial,Urban,Yes,Medium,No,2,Middle,36,Yes,No,No
1364,Love,38,Female,Graduate,Same,Christian,No,Urban,Yes,Medium,No,4,High,7,No,Yes,No
1365,Arranged,38,Female,School,Same,Muslim,Yes,Rural,Yes,Medium,Yes,3,Low,24,Yes,Yes,No
1366,Arranged,31,Male,School,Same,Hindu,Partial,Rural,No,Low,No,5,Middle,24,No,No,Yes
1367,Love,34,Female,Graduate,Different,Hindu,Yes,Urban,Yes,High,No,2,High,23,Yes,No,No
1368,Love,33,Female,PhD,Different,Hindu,Yes,Rural,No,Medium,Yes,4,Middle,30,Yes,No,No
1369,Love,35,Female,Graduate,Different,Hindu,Yes,Rural,Yes,High,No,4,Middle,11,No,No,No
1370,Love,18,Male,School,Same,Muslim,Yes,Urban,Yes,Low,No,3,High,22,Yes,No,No
1371,Arranged,26,Female,Graduate,Different,Others,Yes,Urban,No,Low,No,5,Middle,22,No,No,Yes
1372,Arranged,18,Female,School,Same,Muslim,Yes,Urban,Yes,Low,No,3,Middle,13,No,No,No
1373,Love,27,Female,Graduate,Same,Hindu,No,Rural,No,Medium,No,1,High,22,No,No,No
1374,Arranged,21,Female,School,Same,Hindu,Yes,Rural,No,High,No,2,Low,43,Yes,Yes,No
1375,Love,35,Male,School,Different,Christian,Yes,Rural,No,Medium,No,1,Low,13,Yes,No,No
1376,Love,28,Female,Postgraduate,Same,Hindu,Partial,Rural,Yes,Low,No,0,Middle,32,Yes,No,Yes
1377,Arranged,19,Male,Graduate,Same,Christian,Yes,Urban,No,High,No,0,Low,7,No,Yes,No
1378,Arranged,35,Male,PhD,Same,Christian,Yes,Rural,Yes,Medium,No,2,Low,14,Yes,No,No
1379,Love,20,Male,Graduate,Same,Hindu,No,Urban,No,High,No,4,Middle,16,Yes,No,No
1380,Love,37,Male,Graduate,Different,Hindu,Yes,Urban,No,Low,No,0,Low,28,Yes,No,No
1381,Arranged,34,Male,Graduate,Different,Christian,Yes,Urban,No,Medium,No,0,Low,14,No,Yes,No
1382,Arranged,31,Male,School,Same,Others,Yes,Urban,Yes,Low,Yes,3,Middle,35,No,Yes,No
1383,Arranged,28,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,4,Middle,10,No,Yes,No
1384,Love,19,Female,PhD,Same,Hindu,Yes,Rural,No,Medium,No,4,Middle,28,No,Yes,No
1385,Love,30,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,0,High,37,No,No,No
1386,Arranged,36,Female,School,Same,Hindu,No,Rural,No,Medium,No,3,Middle,39,No,Yes,No
1387,Arranged,26,Male,Graduate,Different,Christian,Yes,Rural,No,Medium,No,0,Middle,18,Yes,Yes,Yes
1388,Arranged,38,Female,Graduate,Same,Muslim,No,Urban,No,High,No,5,Middle,22,Yes,No,No
1389,Arranged,28,Male,PhD,Same,Hindu,No,Rural,Not Disclosed,Medium,Yes,1,Middle,29,Yes,No,No
1390,Arranged,37,Female,School,Different,Muslim,No,Rural,No,Medium,No,4,Middle,16,Yes,No,No
1391,Love,26,Male,School,Different,Hindu,Yes,Rural,No,Low,No,1,Low,39,No,No,No
1392,Arranged,32,Female,Graduate,Different,Hindu,Partial,Urban,No,High,Yes,3,Middle,45,No,Yes,No
1393,Arranged,30,Female,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,3,Middle,49,No,No,No
1394,Love,31,Male,School,Different,Muslim,Yes,Urban,Yes,Medium,No,4,High,7,Yes,No,No
1395,Love,39,Female,Graduate,Same,Muslim,Yes,Rural,No,Medium,Yes,4,Middle,9,Yes,Yes,No
1396,Love,29,Male,School,Same,Muslim,Yes,Urban,Not Disclosed,Medium,No,5,Middle,16,No,No,No
1397,Arranged,30,Male,Postgraduate,Different,Christian,Partial,Rural,No,Low,No,3,Middle,22,No,No,No
1398,Love,23,Male,Graduate,Same,Hindu,Partial,Rural,Yes,Low,No,3,Middle,41,No,Yes,No
1399,Arranged,21,Female,Graduate,Same,Hindu,Yes,Urban,No,High,No,3,Middle,19,Yes,No,Yes
1400,Arranged,33,Female,Graduate,Same,Christian,Yes,Rural,No,Medium,Yes,4,High,1,No,Yes,No
1401,Arranged,24,Female,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,3,Low,11,No,Yes,No
1402,Love,28,Female,School,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,41,Yes,No,Yes
1403,Love,38,Female,School,Same,Hindu,No,Urban,Yes,High,No,0,Middle,27,No,No,Yes
1404,Arranged,18,Male,School,Same,Christian,Partial,Rural,No,High,Yes,1,Low,23,Yes,No,Yes
1405,Arranged,32,Male,School,Same,Muslim,Partial,Rural,No,Low,No,1,Low,1,Yes,No,No
1406,Arranged,29,Male,School,Different,Others,Yes,Rural,No,Medium,No,1,Low,20,Yes,No,No
1407,Love,19,Female,School,Different,Others,Yes,Urban,No,Medium,Yes,5,Middle,23,Yes,No,No
1408,Love,27,Male,School,Same,Hindu,Yes,Rural,No,Medium,No,4,Middle,30,Yes,No,No
1409,Arranged,29,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,4,High,35,No,No,No
1410,Love,28,Female,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,1,Low,24,No,No,No
1411,Arranged,27,Male,School,Same,Sikh,Yes,Rural,No,Medium,No,4,Low,42,No,Yes,No
1412,Arranged,36,Male,School,Same,Christian,Yes,Urban,Yes,Medium,No,0,Low,36,Yes,No,No
1413,Arranged,36,Female,Graduate,Same,Muslim,No,Urban,Yes,Medium,No,3,Middle,1,Yes,Yes,No
1414,Arranged,29,Male,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,High,Yes,1,Low,21,No,No,No
1415,Arranged,20,Male,School,Same,Hindu,Yes,Rural,No,Low,No,4,Middle,26,Yes,Yes,No
1416,Arranged,34,Female,School,Different,Others,No,Urban,Not Disclosed,Medium,No,4,Middle,45,No,No,No
1417,Arranged,33,Female,PhD,Same,Muslim,Yes,Urban,Yes,Medium,No,2,Middle,13,No,No,No
1418,Arranged,20,Male,PhD,Same,Hindu,Yes,Rural,Yes,Medium,No,2,Low,3,No,No,No
1419,Arranged,18,Male,PhD,Same,Hindu,No,Rural,No,Medium,Yes,0,Low,47,No,No,No
1420,Love,18,Female,Graduate,Same,Hindu,Yes,Urban,No,Low,No,3,Middle,44,No,No,Yes
1421,Arranged,22,Female,School,Same,Hindu,Yes,Urban,No,High,No,0,Low,4,Yes,No,No
1422,Arranged,25,Male,Graduate,Same,Others,Yes,Urban,No,Medium,No,3,Low,20,Yes,No,No
1423,Arranged,31,Female,School,Same,Hindu,Yes,Urban,No,High,No,0,High,19,No,No,No
1424,Arranged,28,Female,Postgraduate,Same,Muslim,Yes,Urban,Yes,High,No,3,Low,47,Yes,No,Yes
1425,Love,26,Male,Graduate,Same,Others,Yes,Urban,No,High,No,4,Middle,11,Yes,No,No
1426,Arranged,39,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,1,Low,10,Yes,Yes,Yes
1427,Love,31,Male,School,Same,Hindu,Partial,Urban,No,High,No,1,High,1,No,No,No
1428,Love,26,Male,School,Same,Hindu,Yes,Rural,No,High,No,0,High,4,No,Yes,No
1429,Love,38,Female,Postgraduate,Same,Hindu,Yes,Rural,Yes,High,Yes,4,High,42,No,No,No
1430,Arranged,34,Male,School,Different,Christian,Yes,Urban,No,Medium,No,3,Middle,21,Yes,No,No
1431,Love,34,Male,School,Different,Muslim,Yes,Urban,No,Low,Yes,0,Low,20,Yes,No,No
1432,Arranged,20,Female,Graduate,Different,Hindu,Yes,Rural,No,High,No,1,High,32,No,Yes,No
1433,Arranged,19,Female,PhD,Same,Hindu,Yes,Urban,Yes,Medium,No,4,High,26,Yes,No,No
1434,Love,24,Male,Postgraduate,Same,Hindu,Yes,Rural,No,High,No,1,Middle,46,No,No,No
1435,Arranged,32,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,0,Low,20,Yes,Yes,No
1436,Love,29,Male,Graduate,Same,Hindu,No,Urban,Yes,Low,No,3,Low,32,Yes,No,No
1437,Love,36,Female,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,2,Middle,11,No,No,No
1438,Arranged,36,Male,Postgraduate,Different,Muslim,Yes,Urban,No,High,No,5,Middle,40,No,No,No
1439,Love,30,Male,Postgraduate,Same,Others,No,Rural,No,High,No,0,High,44,No,No,Yes
1440,Love,31,Male,Graduate,Different,Hindu,Partial,Rural,No,Low,Yes,5,High,5,No,No,No
1441,Arranged,28,Female,School,Same,Muslim,Partial,Urban,No,Medium,No,1,High,11,Yes,Yes,No
1442,Arranged,31,Male,Graduate,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,37,No,No,No
1443,Arranged,35,Male,School,Same,Muslim,Yes,Urban,Not Disclosed,High,Yes,0,High,27,No,No,No
1444,Love,31,Female,Graduate,Different,Sikh,Yes,Urban,No,Medium,Yes,4,Middle,22,No,Yes,No
1445,Arranged,36,Male,Graduate,Different,Christian,Yes,Urban,Yes,Medium,No,4,Low,23,Yes,No,No
1446,Love,37,Female,School,Different,Hindu,Yes,Urban,No,High,No,1,High,26,No,No,No
1447,Arranged,30,Female,Graduate,Same,Muslim,No,Rural,Yes,High,No,2,Middle,47,Yes,No,Yes
1448,Love,33,Male,Graduate,Different,Muslim,Yes,Urban,No,Medium,No,5,High,26,Yes,No,No
1449,Arranged,25,Female,School,Same,Hindu,Partial,Rural,Not Disclosed,Medium,No,4,Middle,41,Yes,No,Yes
1450,Love,38,Male,Graduate,Different,Hindu,Yes,Urban,Yes,Low,No,2,Middle,27,No,No,No
1451,Love,37,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,0,Middle,28,Yes,No,No
1452,Love,29,Female,Postgraduate,Same,Muslim,Yes,Urban,No,High,Yes,0,Low,37,No,No,No
1453,Arranged,23,Male,School,Same,Muslim,Yes,Rural,No,High,No,0,Middle,44,Yes,No,No
1454,Arranged,35,Male,Graduate,Same,Muslim,Partial,Urban,Yes,Medium,No,1,Middle,49,No,Yes,No
1455,Arranged,31,Female,Graduate,Same,Muslim,Partial,Rural,Not Disclosed,Low,No,5,Middle,46,No,No,No
1456,Love,28,Female,PhD,Same,Hindu,Partial,Urban,No,High,Yes,0,High,22,No,No,Yes
1457,Love,27,Female,Graduate,Same,Christian,No,Urban,No,Low,No,4,Middle,49,No,No,No
1458,Love,18,Male,Graduate,Different,Hindu,Partial,Rural,No,High,No,2,Low,17,Yes,Yes,No
1459,Love,26,Female,School,Different,Hindu,Yes,Urban,No,Low,No,4,Middle,11,No,No,No
1460,Arranged,22,Female,School,Same,Hindu,Yes,Rural,Yes,High,No,1,Middle,21,Yes,No,No
1461,Love,35,Male,Graduate,Different,Hindu,Partial,Urban,No,High,No,4,Middle,44,Yes,No,No
1462,Love,28,Male,PhD,Same,Hindu,Partial,Urban,Not Disclosed,Low,No,0,Low,9,Yes,No,No
1463,Arranged,20,Male,Postgraduate,Same,Muslim,No,Rural,Yes,Medium,No,1,Middle,45,Yes,Yes,Yes
1464,Arranged,33,Female,School,Different,Hindu,Yes,Urban,No,Low,Yes,2,Low,47,No,No,Yes
1465,Love,19,Female,Graduate,Same,Hindu,Partial,Rural,Yes,Medium,No,4,Middle,25,No,No,No
1466,Love,22,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Low,No,0,Low,43,No,No,No
1467,Love,19,Male,Postgraduate,Same,Others,Partial,Rural,Yes,Medium,No,1,Middle,32,No,No,No
1468,Love,20,Female,Postgraduate,Same,Muslim,Yes,Urban,No,High,No,5,Middle,31,Yes,No,No
1469,Love,20,Male,Graduate,Same,Hindu,Yes,Rural,Yes,Low,No,4,Middle,6,No,Yes,No
1470,Love,39,Female,Graduate,Same,Sikh,Partial,Urban,Yes,Medium,No,4,Middle,27,Yes,No,No
1471,Arranged,37,Female,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,Low,No,2,Middle,10,No,No,No
1472,Arranged,23,Male,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,0,Low,38,Yes,No,No
1473,Arranged,24,Male,School,Same,Christian,Yes,Urban,Yes,Medium,No,1,Middle,15,Yes,No,No
1474,Love,24,Male,PhD,Different,Hindu,Yes,Rural,No,Medium,No,5,Middle,16,Yes,No,Yes
1475,Arranged,18,Male,Graduate,Same,Muslim,Yes,Rural,Yes,High,No,5,Low,2,Yes,Yes,No
1476,Arranged,24,Female,Graduate,Same,Others,Partial,Urban,No,High,No,1,Low,16,Yes,No,No
1477,Arranged,39,Female,School,Same,Hindu,Yes,Urban,No,High,No,0,Middle,38,Yes,No,No
1478,Arranged,24,Male,School,Same,Muslim,Yes,Urban,No,Low,No,4,Middle,8,Yes,No,No
1479,Arranged,28,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,4,Middle,6,No,No,Yes
1480,Love,37,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Low,No,0,Low,43,No,Yes,Yes
1481,Love,20,Female,Graduate,Same,Muslim,Yes,Rural,No,Low,No,1,Middle,21,Yes,Yes,No
1482,Love,36,Female,Graduate,Different,Christian,No,Urban,No,Low,No,2,Low,4,Yes,No,Yes
1483,Arranged,30,Female,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,3,Low,5,Yes,Yes,Yes
1484,Arranged,32,Female,Graduate,Different,Hindu,Partial,Urban,Yes,Medium,No,0,Low,49,No,No,No
1485,Arranged,39,Male,School,Same,Christian,Yes,Rural,No,High,No,5,High,23,No,Yes,No
1486,Arranged,22,Female,Postgraduate,Same,Muslim,Yes,Rural,No,Medium,No,5,Middle,6,No,No,No
1487,Love,37,Female,School,Different,Others,Yes,Rural,No,Medium,No,1,Low,42,No,No,No
1488,Love,29,Female,School,Different,Muslim,Yes,Urban,No,High,No,1,Middle,31,No,No,No
1489,Love,31,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,Yes,5,Low,16,Yes,No,No
1490,Arranged,22,Male,PhD,Same,Others,Yes,Rural,No,Medium,No,4,Middle,31,Yes,Yes,No
1491,Arranged,33,Female,Graduate,Same,Christian,Yes,Rural,Yes,High,No,2,Middle,32,Yes,Yes,No
1492,Arranged,34,Female,Graduate,Different,Hindu,Partial,Rural,Yes,High,No,1,Low,17,Yes,No,No
1493,Arranged,38,Female,School,Same,Hindu,Yes,Rural,No,Medium,No,5,Middle,26,Yes,Yes,No
1494,Love,29,Female,School,Same,Others,Partial,Rural,Yes,Medium,No,1,Low,8,No,No,No
1495,Arranged,28,Male,Graduate,Same,Hindu,Partial,Rural,No,Low,No,0,High,14,Yes,No,No
1496,Arranged,39,Male,School,Same,Hindu,Yes,Urban,No,High,No,4,High,40,Yes,No,No
1497,Love,25,Male,Graduate,Same,Others,Yes,Rural,Not Disclosed,High,Yes,4,High,41,No,No,No
1498,Love,38,Female,School,Same,Muslim,Partial,Urban,No,Medium,No,1,Low,36,Yes,Yes,No
1499,Arranged,21,Male,Graduate,Same,Hindu,Partial,Urban,No,High,No,0,Low,35,No,Yes,No
1500,Arranged,35,Female,PhD,Same,Hindu,Partial,Rural,Yes,Low,No,4,Low,9,Yes,No,No
1501,Arranged,36,Male,Graduate,Different,Hindu,Partial,Urban,Not Disclosed,Medium,Yes,2,Low,33,Yes,Yes,Yes
1502,Love,23,Male,School,Different,Christian,Yes,Rural,No,High,No,2,Middle,26,No,Yes,No
1503,Love,31,Female,School,Same,Christian,Yes,Rural,No,Low,No,4,Middle,6,No,No,No
1504,Arranged,24,Female,School,Same,Hindu,Yes,Urban,No,High,Yes,1,Middle,31,Yes,No,No
1505,Arranged,22,Female,Graduate,Same,Muslim,Partial,Urban,No,High,No,2,High,18,No,No,No
1506,Arranged,35,Male,School,Same,Hindu,No,Rural,No,Low,No,3,High,26,No,Yes,No
1507,Love,28,Male,Postgraduate,Same,Hindu,Yes,Urban,Yes,Medium,Yes,4,Low,23,No,Yes,No
1508,Arranged,25,Male,Postgraduate,Different,Christian,Partial,Urban,No,Medium,Yes,2,Middle,40,No,No,Yes
1509,Love,26,Male,Postgraduate,Same,Hindu,Partial,Urban,No,High,No,1,High,21,Yes,Yes,No
1510,Arranged,21,Female,Graduate,Different,Hindu,Yes,Rural,No,Medium,No,3,Middle,31,Yes,Yes,No
1511,Arranged,20,Female,Graduate,Same,Hindu,No,Rural,No,Low,No,1,Middle,5,No,Yes,Yes
1512,Love,37,Female,School,Same,Christian,Yes,Rural,Not Disclosed,Medium,No,3,Low,46,No,No,No
1513,Arranged,38,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,3,Low,42,No,Yes,No
1514,Arranged,30,Male,Graduate,Same,Muslim,Yes,Urban,No,Medium,Yes,1,Low,21,Yes,No,No
1515,Arranged,37,Male,Postgraduate,Same,Hindu,No,Urban,No,Medium,No,5,Low,49,Yes,No,No
1516,Arranged,31,Female,School,Same,Hindu,Yes,Rural,Not Disclosed,Medium,No,5,Middle,6,No,Yes,No
1517,Love,23,Female,Graduate,Different,Hindu,Yes,Urban,Not Disclosed,High,No,1,Middle,47,No,No,No
1518,Love,37,Male,Graduate,Different,Muslim,Yes,Rural,Yes,Low,Yes,4,Middle,41,Yes,Yes,No
1519,Arranged,37,Female,PhD,Same,Hindu,Yes,Urban,Yes,Medium,Yes,1,Middle,44,Yes,No,No
1520,Arranged,20,Female,School,Different,Hindu,Yes,Rural,No,High,No,0,Middle,33,No,Yes,No
1521,Love,35,Female,Graduate,Same,Muslim,Yes,Urban,No,High,No,5,Low,7,No,Yes,Yes
1522,Arranged,19,Male,Graduate,Different,Christian,Partial,Urban,No,Medium,No,2,High,48,Yes,No,No
1523,Arranged,19,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,2,Low,47,No,Yes,Yes
1524,Arranged,23,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Low,No,5,Low,43,Yes,No,Yes
1525,Love,25,Female,School,Same,Hindu,Yes,Urban,Not Disclosed,Medium,No,1,High,18,Yes,No,Yes
1526,Love,18,Male,PhD,Same,Hindu,Yes,Rural,No,Low,No,4,Middle,18,Yes,No,Yes
1527,Love,26,Female,Postgraduate,Different,Hindu,Yes,Rural,No,Medium,No,1,Middle,35,Yes,No,No
1528,Arranged,34,Male,School,Different,Muslim,Yes,Urban,No,Medium,No,4,Middle,34,No,No,No
1529,Arranged,23,Male,PhD,Different,Hindu,No,Urban,No,Low,No,0,Low,28,Yes,No,Yes
1530,Arranged,22,Male,PhD,Same,Muslim,Partial,Urban,No,Low,No,0,Low,2,No,Yes,No
1531,Arranged,21,Male,Graduate,Different,Hindu,Yes,Urban,No,High,No,3,Middle,46,No,Yes,No
1532,Arranged,38,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,4,Middle,28,Yes,No,No
1533,Love,33,Female,Postgraduate,Same,Muslim,Yes,Rural,Yes,High,No,1,High,14,Yes,No,Yes
1534,Arranged,39,Female,Graduate,Same,Muslim,Yes,Rural,Yes,Medium,No,0,Low,10,Yes,No,No
1535,Arranged,23,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,Yes,0,Low,16,Yes,No,No
1536,Arranged,19,Female,PhD,Same,Hindu,Partial,Rural,No,Medium,No,4,Low,39,Yes,No,No
1537,Love,29,Male,School,Different,Hindu,Yes,Urban,No,Low,No,2,Middle,7,No,No,No
1538,Arranged,32,Female,Graduate,Same,Hindu,No,Urban,No,High,No,1,Middle,12,Yes,No,No
1539,Arranged,29,Female,School,Different,Hindu,Yes,Rural,No,Medium,No,5,High,1,Yes,No,No
1540,Arranged,25,Male,School,Same,Hindu,Yes,Urban,No,Low,No,2,Middle,1,No,No,No
1541,Arranged,21,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,Yes,4,Low,23,No,Yes,No
1542,Love,39,Female,Postgraduate,Different,Hindu,Partial,Urban,No,Low,No,2,Middle,30,No,Yes,No
1543,Arranged,39,Female,School,Same,Muslim,Yes,Rural,No,Medium,No,1,High,33,No,No,Yes
1544,Arranged,27,Male,Postgraduate,Same,Hindu,Yes,Rural,Yes,Medium,No,0,High,4,No,No,No
1545,Arranged,18,Female,Graduate,Same,Hindu,Yes,Urban,Not Disclosed,Medium,No,2,Middle,15,No,Yes,No
1546,Arranged,20,Male,PhD,Same,Hindu,Yes,Rural,Not Disclosed,Medium,Yes,5,Low,14,Yes,Yes,Yes
1547,Arranged,21,Male,Postgraduate,Same,Hindu,Yes,Urban,No,Low,No,5,High,9,Yes,Yes,No
1548,Arranged,27,Female,PhD,Different,Hindu,Yes,Urban,Not Disclosed,Medium,No,0,Middle,9,No,Yes,No
1549,Love,18,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,1,High,14,No,No,No
1550,Arranged,37,Female,Postgraduate,Different,Muslim,Yes,Rural,Yes,High,No,4,Middle,46,No,No,Yes
1551,Arranged,18,Male,Graduate,Same,Others,Yes,Rural,No,Medium,No,3,Middle,17,No,Yes,No
1552,Arranged,20,Female,Graduate,Same,Hindu,No,Rural,No,Medium,No,2,Low,12,Yes,Yes,No
1553,Love,18,Female,School,Different,Hindu,No,Urban,No,High,No,0,Low,1,No,No,No
1554,Love,24,Female,Graduate,Different,Others,Yes,Urban,Not Disclosed,Medium,Yes,3,High,45,No,No,Yes
1555,Arranged,24,Female,School,Same,Hindu,Yes,Urban,No,Medium,No,4,Middle,7,No,No,No
1556,Love,33,Female,Graduate,Different,Sikh,Yes,Urban,No,Medium,No,3,High,8,No,No,No
1557,Arranged,26,Male,Postgraduate,Same,Christian,Yes,Rural,No,Medium,No,5,Low,38,No,No,No
1558,Arranged,20,Female,Graduate,Same,Muslim,Yes,Rural,No,Low,No,2,Low,5,No,Yes,Yes
1559,Love,39,Female,Graduate,Same,Sikh,Yes,Rural,Yes,Medium,No,5,Low,23,Yes,No,No
1560,Arranged,28,Female,School,Different,Sikh,Partial,Urban,Yes,Medium,No,4,Middle,16,No,No,Yes
1561,Arranged,29,Male,School,Same,Christian,No,Urban,Yes,High,Yes,0,Low,36,Yes,Yes,No
1562,Arranged,35,Female,PhD,Same,Hindu,Yes,Urban,Yes,High,No,1,Middle,31,Yes,Yes,No
1563,Arranged,29,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,1,Low,8,Yes,Yes,No
1564,Love,21,Male,Graduate,Same,Muslim,Partial,Rural,Yes,High,No,3,Middle,1,Yes,No,No
1565,Arranged,33,Female,Graduate,Same,Hindu,Yes,Rural,No,High,No,2,Middle,31,Yes,Yes,No
1566,Arranged,19,Female,Graduate,Same,Muslim,Yes,Urban,No,Medium,No,4,Low,48,Yes,No,No
1567,Arranged,18,Female,Postgraduate,Same,Muslim,Yes,Rural,Yes,Medium,No,3,Middle,24,Yes,Yes,No
1568,Arranged,32,Female,Postgraduate,Same,Hindu,Yes,Urban,Yes,Low,No,5,Middle,8,No,No,No
1569,Love,35,Female,Postgraduate,Same,Hindu,Yes,Rural,No,Low,No,0,Middle,3,Yes,Yes,No
1570,Arranged,18,Male,Graduate,Same,Sikh,No,Urban,Not Disclosed,Medium,No,4,Low,5,Yes,No,No
1571,Arranged,31,Female,School,Same,Hindu,Yes,Rural,No,Low,No,4,Low,30,Yes,Yes,No
1572,Love,38,Female,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,4,Middle,30,Yes,Yes,No
1573,Arranged,28,Female,School,Same,Hindu,Yes,Rural,Yes,Medium,No,3,High,48,No,No,No
1574,Love,20,Male,Graduate,Same,Hindu,Partial,Rural,No,Low,No,3,Middle,30,Yes,Yes,No
1575,Love,20,Female,Graduate,Different,Hindu,Yes,Urban,No,Medium,No,5,Low,14,Yes,No,No
1576,Arranged,23,Female,School,Different,Hindu,Yes,Urban,Not Disclosed,High,No,3,Low,31,Yes,No,Yes
1577,Arranged,18,Female,Graduate,Same,Sikh,Yes,Rural,Yes,Medium,No,4,High,45,Yes,No,No
1578,Arranged,26,Male,School,Same,Hindu,Partial,Rural,No,Medium,No,5,High,7,Yes,Yes,No
1579,Arranged,18,Male,School,Same,Muslim,Yes,Rural,Yes,Medium,Yes,0,Middle,24,No,Yes,No
1580,Arranged,23,Male,Graduate,Different,Muslim,No,Urban,No,Medium,No,5,High,12,No,No,No
1581,Arranged,26,Male,Graduate,Different,Christian,Yes,Rural,No,Medium,No,5,Middle,48,Yes,No,No
1582,Arranged,27,Female,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,0,Middle,7,Yes,Yes,No
1583,Arranged,35,Male,PhD,Same,Christian,Yes,Urban,No,High,No,3,High,46,Yes,No,No
1584,Love,25,Female,School,Same,Muslim,No,Rural,No,Medium,No,0,Low,40,No,No,No
1585,Love,28,Female,Graduate,Different,Others,Yes,Urban,Yes,Medium,No,1,High,21,Yes,Yes,Yes
1586,Love,36,Male,Graduate,Same,Sikh,Yes,Urban,Yes,Medium,No,3,Middle,29,Yes,Yes,No
1587,Arranged,26,Male,PhD,Different,Muslim,Partial,Urban,No,Low,No,3,Middle,40,No,Yes,No
1588,Arranged,21,Female,Graduate,Different,Hindu,Yes,Rural,Yes,Medium,No,5,Middle,12,No,No,No
1589,Arranged,20,Male,School,Different,Hindu,No,Rural,No,Medium,No,1,Middle,24,No,Yes,No
1590,Love,35,Male,School,Same,Hindu,Yes,Rural,Yes,Medium,No,2,Low,4,No,No,No
1591,Love,22,Male,Graduate,Different,Muslim,Partial,Urban,No,Medium,No,2,Low,33,Yes,No,No
1592,Arranged,36,Female,School,Same,Hindu,No,Urban,No,High,Yes,4,Low,18,No,No,No
1593,Arranged,35,Male,Graduate,Same,Sikh,No,Urban,Yes,High,No,5,Low,29,Yes,No,No
1594,Arranged,32,Male,Graduate,Same,Hindu,Partial,Urban,No,Medium,Yes,5,Middle,37,No,No,Yes
1595,Arranged,37,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,4,High,21,Yes,No,No
1596,Arranged,27,Female,Graduate,Same,Hindu,Yes,Urban,Not Disclosed,Low,No,2,Middle,5,Yes,No,No
1597,Arranged,26,Male,Postgraduate,Different,Hindu,Yes,Rural,Yes,High,No,3,High,1,No,No,Yes
1598,Arranged,33,Female,Postgraduate,Same,Christian,Partial,Urban,Yes,High,No,4,Low,35,No,No,No
